Date,Close
4/30/2015 16:00:00,27.18
5/1/2015 16:00:00,27.64
5/4/2015 16:00:00,27.87
5/5/2015 16:00:00,27.82
5/6/2015 16:00:00,27.55
5/7/2015 16:00:00,27.69
5/8/2015 16:00:00,27.99
5/11/2015 16:00:00,27.9
5/12/2015 16:00:00,27.88
5/13/2015 16:00:00,27.99
5/14/2015 16:00:00,28.36
5/15/2015 16:00:00,28.34
5/18/2015 16:00:00,27.86
5/19/2015 16:00:00,27.9
5/20/2015 16:00:00,29.07
5/21/2015 16:00:00,28.76
5/22/2015 16:00:00,28.46
5/26/2015 16:00:00,28.31
5/27/2015 16:00:00,29.22
5/28/2015 16:00:00,29.1
5/29/2015 16:00:00,28.61
6/1/2015 16:00:00,28.54
6/2/2015 16:00:00,28.38
6/3/2015 16:00:00,28.45
6/4/2015 16:00:00,28.15
6/5/2015 16:00:00,28.13
6/8/2015 16:00:00,28.08
6/9/2015 16:00:00,28.11
6/10/2015 16:00:00,28.41
6/11/2015 16:00:00,28.26
6/12/2015 16:00:00,28.23
6/15/2015 16:00:00,28.17
6/16/2015 16:00:00,28.33
6/17/2015 16:00:00,28.52
6/18/2015 16:00:00,28.64
6/19/2015 16:00:00,28.62
6/22/2015 16:00:00,28.9
6/23/2015 16:00:00,29.06
6/24/2015 16:00:00,29.03
6/25/2015 16:00:00,28.99
6/26/2015 16:00:00,28.86
6/29/2015 16:00:00,28.14
6/30/2015 16:00:00,28.19
7/1/2015 16:00:00,28.49
7/2/2015 16:00:00,28.43
7/6/2015 16:00:00,28.11
7/7/2015 16:00:00,28.68
7/8/2015 16:00:00,28.46
7/9/2015 16:00:00,28.61
7/10/2015 16:00:00,28.66
7/13/2015 16:00:00,29.11
7/14/2015 16:00:00,29.18
7/15/2015 16:00:00,28.93
7/16/2015 16:00:00,29.18
7/17/2015 16:00:00,28.81
7/20/2015 16:00:00,28.93
7/21/2015 16:00:00,28.73
7/22/2015 16:00:00,28.88
7/23/2015 16:00:00,28.83
7/24/2015 16:00:00,28.78
7/27/2015 16:00:00,28.71
7/28/2015 16:00:00,29.24
7/29/2015 16:00:00,29.4
7/30/2015 16:00:00,29.67
7/31/2015 16:00:00,29.61
8/3/2015 16:00:00,29.72
8/4/2015 16:00:00,30.15
8/5/2015 16:00:00,30.4
8/6/2015 16:00:00,30.14
8/7/2015 16:00:00,30.12
8/10/2015 16:00:00,30.43
8/11/2015 16:00:00,30.23
8/12/2015 16:00:00,30.45
8/13/2015 16:00:00,30.25
8/14/2015 16:00:00,30.61
8/17/2015 16:00:00,30.67
8/18/2015 16:00:00,30.25
8/19/2015 16:00:00,30.61
8/20/2015 16:00:00,31.8
8/21/2015 16:00:00,30.69
8/24/2015 16:00:00,29.67
8/25/2015 16:00:00,29.39
8/26/2015 16:00:00,30.23
8/27/2015 16:00:00,30.69
8/28/2015 16:00:00,30.75
8/31/2015 16:00:00,30.55
9/1/2015 16:00:00,29.83
9/2/2015 16:00:00,30.32
9/3/2015 16:00:00,30.59
9/4/2015 16:00:00,30.34
9/8/2015 16:00:00,31.05
9/9/2015 16:00:00,30.53
9/10/2015 16:00:00,30.51
9/11/2015 16:00:00,30.86
9/14/2015 16:00:00,30.7
9/15/2015 16:00:00,30.99
9/16/2015 16:00:00,31.41
9/17/2015 16:00:00,31.09
9/18/2015 16:00:00,30.54
9/21/2015 16:00:00,30.61
9/22/2015 16:00:00,30.17
9/23/2015 16:00:00,30.35
9/24/2015 16:00:00,30.6
9/25/2015 16:00:00,31.1
9/28/2015 16:00:00,30.73
9/29/2015 16:00:00,30.89
9/30/2015 16:00:00,31.66
10/1/2015 16:00:00,31.61
10/2/2015 16:00:00,32.09
10/5/2015 16:00:00,32.67
10/6/2015 16:00:00,31.89
10/7/2015 16:00:00,32.01
10/8/2015 16:00:00,32.57
10/9/2015 16:00:00,32.71
10/12/2015 16:00:00,33.2
10/13/2015 16:00:00,32.95
10/14/2015 16:00:00,32.35
10/15/2015 16:00:00,32.45
10/16/2015 16:00:00,32.95
10/19/2015 16:00:00,33.17
10/20/2015 16:00:00,32.97
10/21/2015 16:00:00,33.31
10/22/2015 16:00:00,34.24
10/23/2015 16:00:00,34.17
10/26/2015 16:00:00,33.81
10/27/2015 16:00:00,33.42
10/28/2015 16:00:00,33.82
10/29/2015 16:00:00,33.92
10/30/2015 16:00:00,33.78
11/2/2015 16:00:00,33.76
11/3/2015 16:00:00,33.89
11/4/2015 16:00:00,33.61
11/5/2015 16:00:00,33.8
11/6/2015 16:00:00,33.32
11/9/2015 16:00:00,33.3
11/10/2015 16:00:00,33.53
11/11/2015 16:00:00,33.68
11/12/2015 16:00:00,33.22
11/13/2015 16:00:00,33.09
11/16/2015 16:00:00,33.91
11/17/2015 16:00:00,33.82
11/18/2015 16:00:00,34.23
11/19/2015 16:00:00,34.42
11/20/2015 16:00:00,34.09
11/23/2015 16:00:00,34.63
11/24/2015 16:00:00,35.66
11/25/2015 16:00:00,36.78
11/27/2015 16:00:00,37.51
11/30/2015 16:00:00,37.46
12/1/2015 16:00:00,37.76
12/2/2015 16:00:00,37.74
12/3/2015 16:00:00,37.88
12/4/2015 16:00:00,38.8
12/7/2015 16:00:00,38.73
12/8/2015 16:00:00,38.86
12/9/2015 16:00:00,38.51
12/10/2015 16:00:00,38.52
12/11/2015 16:00:00,38.72
12/14/2015 16:00:00,38.99
12/15/2015 16:00:00,39.01
12/16/2015 16:00:00,39.92
12/17/2015 16:00:00,39.74
12/18/2015 16:00:00,39.4
12/21/2015 16:00:00,39.83
12/22/2015 16:00:00,40.26
12/23/2015 16:00:00,39.88
12/24/2015 16:00:00,39.91
12/28/2015 16:00:00,40.01
12/29/2015 16:00:00,40.25
12/30/2015 16:00:00,39.83
12/31/2015 16:00:00,39.54
1/4/2016 16:00:00,39.11
1/5/2016 16:00:00,39.91
1/6/2016 16:00:00,40.04
1/7/2016 16:00:00,39.32
1/8/2016 16:00:00,39.09
1/11/2016 16:00:00,39.02
1/12/2016 16:00:00,39.76
1/13/2016 16:00:00,39.22
1/14/2016 16:00:00,39.42
1/15/2016 16:00:00,38.06
1/19/2016 16:00:00,38.45
1/20/2016 16:00:00,37.78
1/21/2016 16:00:00,37.24
1/22/2016 16:00:00,37.99
1/25/2016 16:00:00,37.76
1/26/2016 16:00:00,38.42
1/27/2016 16:00:00,38.31
1/28/2016 16:00:00,39.17
1/29/2016 16:00:00,40.21
2/1/2016 16:00:00,41.01
2/2/2016 16:00:00,40.67
2/3/2016 16:00:00,39.96
2/4/2016 16:00:00,39.22
2/5/2016 16:00:00,39.47
2/8/2016 16:00:00,40.7
2/9/2016 16:00:00,41.43
2/10/2016 16:00:00,41.67
2/11/2016 16:00:00,41.69
2/12/2016 16:00:00,41.5
2/16/2016 16:00:00,44.44
2/17/2016 16:00:00,44.47
2/18/2016 16:00:00,42.89
2/19/2016 16:00:00,42.75
2/22/2016 16:00:00,43.03
2/23/2016 16:00:00,43.57
2/24/2016 16:00:00,43.71
2/25/2016 16:00:00,43.87
2/26/2016 16:00:00,42.97
2/29/2016 16:00:00,42.51
3/1/2016 16:00:00,43.02
3/2/2016 16:00:00,43.35
3/3/2016 16:00:00,44.09
3/4/2016 16:00:00,44.01
3/7/2016 16:00:00,43.44
3/8/2016 16:00:00,43.69
3/9/2016 16:00:00,43.92
3/10/2016 16:00:00,43.51
3/11/2016 16:00:00,43.58
3/14/2016 16:00:00,43.85
3/15/2016 16:00:00,44.08
3/16/2016 16:00:00,44.42
3/17/2016 16:00:00,44.05
3/18/2016 16:00:00,43.7
3/21/2016 16:00:00,43.63
3/22/2016 16:00:00,43.54
3/23/2016 16:00:00,43.69
3/24/2016 16:00:00,43.27
3/28/2016 16:00:00,43.8
3/29/2016 16:00:00,44.4
3/30/2016 16:00:00,43.95
3/31/2016 16:00:00,43.24
4/1/2016 16:00:00,43.91
4/4/2016 16:00:00,43.55
4/5/2016 16:00:00,42.24
4/6/2016 16:00:00,43
4/7/2016 16:00:00,42.19
4/8/2016 16:00:00,41.82
4/11/2016 16:00:00,41.17
4/12/2016 16:00:00,40.68
4/13/2016 16:00:00,39.82
4/14/2016 16:00:00,39.25
4/15/2016 16:00:00,39.46
4/18/2016 16:00:00,39.4
4/19/2016 16:00:00,39.47
4/20/2016 16:00:00,38.59
4/21/2016 16:00:00,37.84
4/22/2016 16:00:00,37.66
4/25/2016 16:00:00,37.91
4/26/2016 16:00:00,38.24
4/27/2016 16:00:00,38.57
4/28/2016 16:00:00,38.73
4/29/2016 16:00:00,38.55
5/2/2016 16:00:00,38.71
5/3/2016 16:00:00,38.53
5/4/2016 16:00:00,38.73
5/5/2016 16:00:00,38.19
5/6/2016 16:00:00,38.55
5/9/2016 16:00:00,39.74
5/10/2016 16:00:00,40
5/11/2016 16:00:00,40.01
5/12/2016 16:00:00,40.21
5/13/2016 16:00:00,39.9
5/16/2016 16:00:00,40.24
5/17/2016 16:00:00,38.8
5/18/2016 16:00:00,35.48
5/19/2016 16:00:00,35.37
5/20/2016 16:00:00,34.86
5/23/2016 16:00:00,34.87
5/24/2016 16:00:00,34.8
5/25/2016 16:00:00,34.61
5/26/2016 16:00:00,34.9
5/27/2016 16:00:00,34.78
5/31/2016 16:00:00,34.41
6/1/2016 16:00:00,34.43
6/2/2016 16:00:00,34.28
6/3/2016 16:00:00,34.67
6/6/2016 16:00:00,34.01
6/7/2016 16:00:00,34.4
6/8/2016 16:00:00,34.54
6/9/2016 16:00:00,34.9
6/10/2016 16:00:00,34.76
6/13/2016 16:00:00,34.44
6/14/2016 16:00:00,34.35
6/15/2016 16:00:00,34.18
6/16/2016 16:00:00,34.96
6/17/2016 16:00:00,34.88
6/20/2016 16:00:00,34.64
6/21/2016 16:00:00,34.92
6/22/2016 16:00:00,34.57
6/23/2016 16:00:00,34.59
6/24/2016 16:00:00,35.34
6/27/2016 16:00:00,35.81
6/28/2016 16:00:00,34.98
6/29/2016 16:00:00,35.32
6/30/2016 16:00:00,36.6
7/1/2016 16:00:00,36.28
7/5/2016 16:00:00,36.73
7/6/2016 16:00:00,36.63
7/7/2016 16:00:00,36.44
7/8/2016 16:00:00,36.61
7/11/2016 16:00:00,36.42
7/12/2016 16:00:00,36.27
7/13/2016 16:00:00,36.56
